index,chars,header_rule_says_email,email_vocab_hits,verdict,excerpt
17,1109,True,contract enron forwarded gas please,email,Subject: february nominations at shell deer park - - - - - - - - - - - - - - - - - - - - - - forwarded by mary poorman / na / enron on 01 / 25 / 2001 10 : 47 am
25,891,True,fyi meter,email,Subject: mobil - beaumont - fyi fyi - i ' ve entered estimated vols into sitara based on the following info from mobil : jan 28 - their takes will be down by 15
89,338,True,attached contract gas nomination please thanks,email,Subject: txu fuels / sds nomination for january 2001 attached is the january 2001 nomination for our takes under the gas sales and purchase contract between txu
130,397,True,contract enron gas please,email,"Subject: txu fuel company we cannot enter into a contract with txu as they require ena to warrant gas sold is "" intrastate "" gas . for obvious reasons this is n"
161,134,True,deal fyi meter,email,Subject: meter 1603 - 10 / 1 - 10 / 2 fyi - meter 1603 has a total flow of 48 . 667 on a total nom of 40 . 000 . deal # 380664 . al
183,395,True,deal please thanks,email,Subject: net out with kinder morgan - beginning march 21 st megan / kim - - - please make a note that we did a deal with kinder morgan that nets out and should 
185,96,True,attached,email,"Subject: hpl nom for march 22 , 2001 ( see attached file : hplno 322 . xls ) - hplno 322 . xls"
242,1712,True,contract counterparty deal ect forwarded gas,email,Subject: sarco lateral and crow o ' connor meters daren - can you set up new deals for meter 6757 and 5192 ? meter 6757 crow o ' connor - counterparty duke ener
252,95,True,attached,email,"Subject: hpl nom for sept . 14 , 2000 ( see attached file : hplo 914 . xls ) - hplo 914 . xls"
283,568,True,,no independent evidence,"Subject: fw : stalin quote - - - - - original message - - - - - from : carol covington sent : friday , november 17 , 2000 3 : 35 pm to : david heineke ; jim wal"
284,132,True,enron,email,"Subject: enron actuals for junel 3 , 2000 teco tap 100 . 000 / hpl iferc texoma 20 . 000 / hpl iferc ls hpl katy 40 . 000 / enron"
286,282,True,enron,email,"Subject: enron / hpl actuals for june 23 - 25 , 2000 june 23 , 2000 teco tap 20 . 000 / enron ; 70 . 000 / hpl iferc ls hpl lsk ic 30 . 000 / enron june 24 , 20"
289,95,True,attached,email,"Subject: hpl nom for march 8 , 2001 ( see attached file : hplno 308 . xls ) - hplno 308 . xls"
314,99,True,attached,email,"Subject: hpl nom for november 10 , 2000 ( see attached file : hplnl 110 . xls ) - hplnl 110 . xls"
409,929,True,deal ect hou pipeline please thanks,email,"Subject: re : deal 156071 feb 00 daren , there are only two deals on pgev pipeline : deal # 156071 - valid 02 / 01 / 00 - 02 / 29 / 00 , and deal # 208083 - val"
446,69,True,attached,email,Subject: first delivery - rodessa operating co . see attached letter
448,452,True,nomination volumes,email,"Subject: nomination 5 / 25 / 2000 and following - eastrans for 5 / 25 / 2000 our nomination into eastrans will be 36 , 800 mmbtu / d . redeliveries will be : 25"
462,293,True,deal meter,email,"Subject: meter 980070 daren , this meter has recorded flow for the following days with no deal . 10 - 29 - 99 1300 10 - 30 - 99 23 10 - 31 - 99 23 2 - 06 - 01 ("
467,135,True,enron,email,"Subject: enron / hpl actuals for october 5 , 2000 teco tap 60 . 000 / enron ; 65 . 000 / hpl iferc ls hpl lsk ic 15 . 000 / hpl iferc"
473,53,True,,no independent evidence,Subject: neon - bammel neon groups - fall 2001 . doc
496,234,True,deal spreadsheet thanks,email,"Subject: panenergy 9 / 00 i finally heard back from duke regarding sept 2000 . they agree with our spreadsheet , so i need a demand fee to adjust the price in s"
536,208,True,attached thanks,email,"Subject: hpl nom change for june 9 , 2000 revision # 1 taking the texoma and the ls hpl - katy to zero effective at 4 : 00 pm today . thanks . tim ( see attache"
550,329,True,attached deal thanks,email,Subject: defs 2001 i have some changes to the defs deals for 2001 . we need to add demand fees for the over delivery and excess charges . i have attached the sp
574,107,True,enron gas,email,"Subject: enron actuals for june 28 , 2000 teco tap 120 . 000 / hpl gas daily ls hpl katy 30 . 000 / enron"
666,824,True,ect gas hou inc please,email,"Subject: re : new update for buybacks please check the "" undertake "" ticket # for the following : air products , inc . . . . . . 132976 oppose to 122218 ; petro"
